    Energy    <xanes>    
   26.9072  4.8935094E-01
   27.0072  4.8679159E-01
   27.1072  4.8425791E-01
   27.2072  4.8175404E-01
   27.3072  4.7928388E-01
   27.4072  4.7685111E-01
   27.5072  4.7445913E-01
   27.6072  4.7211112E-01
   27.7072  4.6980999E-01
   27.8072  4.6755840E-01
   27.9072  4.6535876E-01
   28.0072  4.6321322E-01
   28.1072  4.6112372E-01
   28.2072  4.5909191E-01
   28.3072  4.5711925E-01
   28.4072  4.5520693E-01
   28.5072  4.5335596E-01
   28.6072  4.5156711E-01
   28.7072  4.4984095E-01
   28.8072  4.4817786E-01
   28.9072  4.4657803E-01
   29.0072  4.4504147E-01
   29.1072  4.4356802E-01
   29.2072  4.4215737E-01
   29.3072  4.4080906E-01
   29.4072  4.3952247E-01
   29.5072  4.3829688E-01
   29.6072  4.3713142E-01
   29.7072  4.3602514E-01
   29.8072  4.3497695E-01
   29.9072  4.3398569E-01
   30.0072  4.3305010E-01
   30.1072  4.3216886E-01
   30.2072  4.3134056E-01
   30.3072  4.3056372E-01
   30.4072  4.2983683E-01
   30.5072  4.2915832E-01
   30.6072  4.2852655E-01
   30.7072  4.2793988E-01
   30.8072  4.2739662E-01
   30.9072  4.2689505E-01
   31.0072  4.2643343E-01
   31.1072  4.2601002E-01
   31.2072  4.2562304E-01
   31.3072  4.2527073E-01
   31.4072  4.2495129E-01
   31.5072  4.2466296E-01
   31.6072  4.2440394E-01
   31.7072  4.2417246E-01
   31.8072  4.2396676E-01
   31.9072  4.2378507E-01
   32.0072  4.2362565E-01
   32.1072  4.2348674E-01
   32.2072  4.2336664E-01
   32.3072  4.2326364E-01
   32.4072  4.2317603E-01
   32.5072  4.2310216E-01
   32.6072  4.2304035E-01
   32.7072  4.2298896E-01
   32.8072  4.2294639E-01
   32.9072  4.2291101E-01
   33.0072  4.2288125E-01
   33.1072  4.2285555E-01
   33.2072  4.2283234E-01
   33.3072  4.2281011E-01
   33.4072  4.2278735E-01
   33.5072  4.2276255E-01
   33.6072  4.2273424E-01
   33.7072  4.2270098E-01
   33.8072  4.2266132E-01
